Gene	U	n_NFE	k_NFE	s_het_det	low_det	up_det	s_het_drift	low_drift	up_drift
DRD1	6.04e-7	66556.2532	0	0.205707	0.016	1.	0.154344	0.002812	1.
DRD2	8.89e-7	66285.3333	1	0.084159	0.013	0.388	0.064803	0.000889	0.88914
DRD3	7.7e-7	66125.6	3	0.022127	0.007	0.063	0.015403	0.000889	0.088914
DRG1	8.81e-7	66294	1	0.083591	0.013	0.385	0.064811	0.000889	0.88914
DRG2	1.33e-6	60288.8	5	0.018876	0.008	0.044	0.012334	0.000889	0.088914
DRGX	5.8e-7	44368	0	0.169839	0.011	1.	0.125185	0.000889	1.
DROSHA	4.85e-6	62709.8	6	0.055522	0.025	0.121	0.053661	0.008891	0.281171
DRP2	2.84e-6	43974.6667	5	0.028668	0.012	0.067	0.023141	0.002812	0.088914
DSC1	2.24e-6	66198.3077	20	0.00787	0.005	0.012	0.00573	0.000889	0.028117
DSC2	1.84e-6	64527.1429	4	0.034907	0.013	0.089	0.028376	0.002812	0.088914
DSC3	1.73e-6	64532	26	0.004583	0.00305	0.00657	0.004347	0.000889	0.028117
DSCAM	5.09e-6	66376	0	0.565212	0.101	1.	0.512119	0.088914	1.
DSCAML1	4.45e-6	58743.5	3	0.100201	0.033	0.287	0.095621	0.028117	0.281171
DSCC1	9.58e-7	66240.4	2	0.043058	0.011	0.148	0.033637	0.000889	0.281171
DSCR3	6.17e-7	65956	1	0.063619	0.01	0.295	0.042676	0.000889	0.281171
DSCR4	2.1e-7	66286	4	0.005463	0.00174	0.0122	0.006999	0.000889	0.028117
DSE	1.87e-6	66627.5	4	0.036534	0.014	0.093	0.0323	0.002812	0.088914
DSEL	2.29e-6	66525.3333	8	0.02094	0.011	0.041	0.014591	0.000889	0.088914
DSG1	2.42e-6	66379	2	0.09797	0.026	0.335	0.091554	0.008891	0.281171
DSG2	1.85e-6	66101.6	5	0.0281	0.012	0.065	0.022533	0.000889	0.088914
DSG3	2.3e-6	65915.3913	13	0.012533	0.008	0.022	0.009389	0.000889	0.028117
DSG4	2.35e-6	66261	4	0.045132	0.017	0.115	0.044562	0.002812	0.281171
DSN1	1.04e-6	65470.6	12	0.006373	0.004	0.011	0.005616	0.000889	0.028117
DSP	6.95e-6	66515.6923	10	0.048912	0.027	0.09	0.050396	0.028117	0.088914
DSPP	7.73e-7	66591.6	4	0.016096	0.006	0.04	0.01125	0.000889	0.088914
DST	0.0000139	59947.3333	12	0.072379	0.042	0.127	0.050376	0.028117	0.088914
DSTN	2.83e-7	66431.625	0	0.149632	0.008	1.	0.100365	0.000889	1.
DSTYK	2.45e-6	63648.25	21	0.007859	0.006	0.012	0.005634	0.000889	0.028117
DTD1	6.07e-7	64424	1	0.061749	0.009	0.287	0.041875	0.000889	0.281171
DTD2	2.76e-7	37710	5	0.003475	0.00119	0.00681	0.005693	0.000889	0.028117
DTL	1.9e-6	66165.4286	6	0.023678	0.011	0.051	0.016794	0.000889	0.088914
DTNA	2.16e-6	66488	2	0.08873	0.023	0.304	0.08453	0.008891	0.281171
DTNB	2.54e-6	45237.2	12	0.010437	0.006	0.018	0.007785	0.000889	0.028117
DTNBP1	9.9e-7	60783	5	0.014474	0.006	0.033	0.010051	0.000889	0.028117
DTWD1	7.e-7	65145.25	14	0.003765	0.00211	0.00601	0.004864	0.000889	0.028117
DTWD2	7.4e-7	64729.1429	10	0.00559	0.003	0.01	0.005639	0.000889	0.028117
DTX1	1.19e-6	64757.3333	4	0.023286	0.009	0.059	0.016017	0.000889	0.088914
DTX2	1.14e-6	64224	4	0.022208	0.008	0.056	0.014412	0.000889	0.088914
DTX3	5.58e-7	59600.4	0	0.189343	0.013	1.	0.145535	0.000889	1.
DTX3L	1.34e-6	66276	28	0.00342	0.0023	0.00481	0.004216	0.000889	0.028117
DTX4	1.35e-6	58820	4	0.023943	0.009	0.06	0.017314	0.000889	0.088914
DTYMK	4.19e-7	55812	0	0.163275	0.01	1.	0.109372	0.000889	1.
DUOXA1	1.21e-6	65115.1111	10	0.008836	0.005	0.016	0.006934	0.000889	0.028117
DUOXA2	6.12e-7	64950.4	47	0.000968	0.00069	0.00122	0.003818	0.000889	0.008891
DUPD1	4.21e-7	66049.7778	5	0.007329	0.003	0.016	0.007089	0.000889	0.028117
DUS1L	1.65e-6	63941.3333	8	0.014731	0.008	0.029	0.010461	0.000889	0.028117
DUS2	1.92e-6	66541.8	11	0.012649	0.007	0.023	0.009155	0.000889	0.028117
DUS3L	1.73e-6	54146.1667	11	0.009411	0.006	0.017	0.007103	0.000889	0.028117
DUS4L	6.52e-7	65876.8571	4	0.013691	0.005	0.034	0.010259	0.000889	0.088914
DUSP1	7.6e-7	58337	3	0.019568	0.006	0.055	0.013871	0.000889	0.088914
DUSP10	7.81e-7	63805	1	0.074108	0.012	0.343	0.055305	0.000889	0.281171
DUSP11	1.11e-6	59649.3333	7	0.01097	0.006	0.022	0.008126	0.000889	0.028117
DUSP12	9.05e-7	66576	5	0.014491	0.006	0.033	0.009929	0.000889	0.028117
DUSP13	8.86e-7	66229.25	15	0.004407	0.00255	0.00699	0.004918	0.000889	0.028117
DUSP14	3.94e-7	66123.5333	0	0.170712	0.011	1.	0.118012	0.000889	1.
DUSP15	5.66e-7	36717.3333	3	0.010336	0.003	0.028	0.008981	0.000889	0.028117
DUSP16	1.35e-6	66461.5	2	0.058461	0.015	0.202	0.051801	0.002812	0.281171
DUSP18	2.9e-7	66218	10	0.002573	0.00123	0.00424	0.005063	0.000889	0.028117
DUSP19	3.42e-7	66362	2	0.01809	0.004	0.06	0.012897	0.000889	0.088914
DUSP2	4.95e-7	44548.6531	0	0.159427	0.009	1.	0.112405	0.000889	1.
DUSP21	2.24e-7	47758.6667	26	0.000625	0.00036	0.00077	0.003824	0.000889	0.008891
DUSP22	5.24e-7	66694.8	16	0.002593	0.00149	0.00395	0.004598	0.000889	0.028117
DUSP23	5.92e-7	45784.6667	2	0.020863	0.005	0.069	0.014971	0.000889	0.088914
DUSP26	6.99e-7	64908.8	2	0.032155	0.008	0.11	0.022082	0.000889	0.088914
DUSP27	1.86e-6	60012.0952	15	0.008055	0.005	0.014	0.006253	0.000889	0.028117
DUSP28	3.03e-7	36474	0	0.123186	0.006	0.873	0.081928	0.000889	1.
DUSP3	3.93e-7	56950.129	0	0.160388	0.01	1.	0.110339	0.000889	1.
DUSP4	4.8e-7	41050	1	0.037593	0.005	0.171	0.026561	0.000889	0.281171
DUSP5	7.39e-7	61266.8	3	0.019934	0.006	0.056	0.012996	0.000889	0.088914
DUSP6	5.84e-7	60770.4884	0	0.194756	0.014	1.	0.147038	0.002812	1.
DUSP7	6.1e-7	66229	1	0.063273	0.01	0.294	0.042819	0.000889	0.281171
DUSP8	7.3e-7	48774	0	0.19503	0.014	1.	0.14503	0.002812	1.
DUSP9	5.43e-7	43501.0702	0	0.163947	0.01	1.	0.111212	0.000889	1.
DUT	6.53e-7	63558	7	0.007182	0.004	0.015	0.006841	0.000889	0.028117
DUXA	6.88e-7	66506.25	3	0.020121	0.007	0.057	0.013819	0.000889	0.088914
DVL1	1.55e-6	43383.2	2	0.045308	0.011	0.156	0.038061	0.000889	0.281171
DVL2	1.65e-6	65750.25	3	0.04418	0.014	0.127	0.039872	0.002812	0.281171
DVL3	1.66e-6	66500	1	0.135658	0.024	0.602	0.121167	0.008891	0.88914
DXO	9.53e-7	64461.5714	13	0.005332	0.003	0.009	0.005309	0.000889	0.028117
DYDC1	4.98e-7	64020	6	0.00674	0.003	0.014	0.006712	0.000889	0.028117
DYDC2	3.85e-7	66296.5	12	0.002675	0.00139	0.00429	0.004908	0.000889	0.028117
DYM	2.1e-6	64554.3333	17	0.008529	0.006	0.014	0.006353	0.000889	0.028117
DYNAP	3.19e-7	66650	0	0.157103	0.009	1.	0.100493	0.000889	1.
DYNC1H1	0.0000116	66418.6667	1	0.549077	0.148	1.	0.433321	0.088914	0.88914
DYNC1I1	2.07e-6	62897.4	6	0.024484	0.011	0.053	0.01823	0.000889	0.088914
DYNC1I2	2.1e-6	59902.9091	11	0.012463	0.007	0.022	0.009208	0.000889	0.028117
DYNC1LI1	1.48e-6	66724	1	0.124667	0.022	0.558	0.108913	0.008891	0.88914
DYNC1LI2	1.17e-6	65185	0	0.275494	0.027	1.	0.239716	0.008891	1.
DYNC2LI1	9.82e-7	66470.4444	13	0.005639	0.004	0.01	0.005386	0.000889	0.028117
DYNLL1	2.57e-7	65700.4706	0	0.143549	0.008	0.987	0.099935	0.000889	1.
DYNLL2	2.47e-7	66671.625	0	0.14219	0.007	0.98	0.083404	0.000889	1.
DYNLRB1	3.71e-7	53640.6667	0	0.153018	0.009	1.	0.107517	0.000889	1.
DYNLRB2	2.96e-7	66634	1	0.037619	0.005	0.171	0.02588	0.000889	0.281171
DYNLT1	4.24e-7	65180.6667	4	0.009358	0.004	0.023	0.008045	0.000889	0.028117
DYNLT3	3.26e-7	39789.6471	0	0.13024	0.006	0.914	0.084064	0.000889	1.
DYRK1A	1.94e-6	66644	0	0.353931	0.044	1.	0.31238	0.028117	1.
DYRK1B	1.3e-6	65290	1	0.11111	0.019	0.502	0.093627	0.002812	0.88914
DYRK2	9.86e-7	63765.193	0	0.251845	0.023	1.	0.211999	0.002812	1.
DYRK3	8.81e-7	66690.5714	7	0.009827	0.005	0.02	0.007763	0.000889	0.028117
DYRK4	1.22e-6	66281	9	0.010116	0.006	0.019	0.007594	0.000889	0.028117
DYSF	5.86e-6	63524.95	25	0.015397	0.011	0.023	0.013916	0.002812	0.028117
DYTN	1.6e-6	63994.4762	12	0.009351	0.006	0.016	0.007129	0.000889	0.028117
DYX1C1	1.18e-6	66504.8333	12	0.007275	0.004	0.013	0.006119	0.000889	0.028117
DZANK1	2.05e-6	59429.1429	9	0.014918	0.008	0.028	0.010345	0.000889	0.028117
DZIP1	2.26e-6	61528.4762	18	0.008241	0.006	0.013	0.00619	0.000889	0.028117
DZIP1L	1.72e-6	64908.24	17	0.007081	0.005	0.012	0.005528	0.000889	0.028117
DZIP3	3.37e-6	65944.8571	30	0.007709	0.006	0.011	0.005345	0.000889	0.028117
E2F1	7.54e-7	48723.9077	0	0.197716	0.014	1.	0.1583	0.002812	1.
E2F2	9.37e-7	59392	1	0.080579	0.013	0.372	0.058669	0.000889	0.281171
E2F3	1.12e-6	61753.7966	0	0.263219	0.025	1.	0.221136	0.008891	1.
E2F4	9.12e-7	48440	1	0.067667	0.01	0.314	0.048896	0.000889	0.281171
E2F5	7.28e-7	49367	4	0.011709	0.005	0.029	0.008777	0.000889	0.028117
E2F6	8.11e-7	62893	2	0.03558	0.009	0.122	0.024566	0.000889	0.281171
E2F7	1.93e-6	66565.2	2	0.080388	0.021	0.276	0.07327	0.008891	0.281171
E2F8	2.09e-6	66581	0	0.366678	0.047	1.	0.328998	0.028117	1.
E4F1	1.44e-6	41047.5	2	0.040459	0.01	0.139	0.030109	0.000889	0.281171
EAF1	5.5e-7	66150.6667	5	0.009225	0.004	0.021	0.008054	0.000889	0.028117
EAF2	5.81e-7	66504.6667	17	0.002659	0.00155	0.00401	0.004547	0.000889	0.028117
EAPP	7.2e-7	65788.75	13	0.004207	0.00232	0.00686	0.005017	0.000889	0.028117
EARS2	1.18e-6	63190.9091	10	0.008392	0.005	0.015	0.006804	0.000889	0.028117
EBAG9	5.6e-7	66480	0	0.198869	0.015	1.	0.154249	0.002812	1.
EBF1	1.41e-6	66664	0	0.303983	0.033	1.	0.264869	0.008891	1.
EBF2	1.61e-6	65151.3333	1	0.130508	0.023	0.581	0.113082	0.008891	0.88914
EBF3	1.58e-6	63104	1	0.125579	0.022	0.561	0.110238	0.008891	0.88914
EBI3	6.66e-7	62663.3333	8	0.006258	0.003	0.012	0.006292	0.000889	0.028117
EBNA1BP2	1.49e-6	50756.1818	7	0.012412	0.006	0.025	0.008981	0.000889	0.028117
EBP	6.44e-7	39900.7576	0	0.169737	0.011	1.	0.118928	0.000889	1.
EBPL	4.78e-7	44093	0	0.156554	0.009	1.	0.111887	0.000889	1.
ECD	2.03e-6	66330.5263	29	0.004908	0.00335	0.00692	0.004327	0.000889	0.028117
ECE1	1.98e-6	66606	0	0.357323	0.044	1.	0.320865	0.028117	1.
ECE2	2.41e-6	64541.4483	47	0.003458	0.00256	0.00453	0.003856	0.000889	0.008891
ECEL1	2.86e-6	65838.7692	9	0.022696	0.012	0.043	0.016648	0.002812	0.088914
ECH1	9.97e-7	39549	1	0.062133	0.009	0.288	0.045508	0.000889	0.281171
ECHDC1	5.89e-7	66494	2	0.028352	0.007	0.096	0.019605	0.000889	0.088914
ECHDC2	1.3e-6	58813.0769	16	0.005269	0.004	0.009	0.004936	0.000889	0.028117
ECHDC3	4.18e-7	62841	49	0.00065	0.00045	0.00079	0.003868	0.000889	0.008891
ECHS1	7.11e-7	65883	5	0.011535	0.005	0.026	0.008597	0.000889	0.028117
ECI1	9.37e-7	53967.0769	18	0.003189	0.00191	0.00481	0.004382	0.000889	0.028117
ECI2	7.73e-7	65918.3077	5	0.012442	0.005	0.028	0.009189	0.000889	0.028117
ECM1	1.73e-6	66008.6667	35	0.003462	0.00243	0.00471	0.003998	0.000889	0.028117
ECM2	1.36e-6	64057.4545	19	0.004991	0.00309	0.00759	0.004755	0.000889	0.028117
ECSIT	1.04e-6	51949.6	7	0.009103	0.005	0.019	0.007161	0.000889	0.028117
ECT2	2.74e-6	60463.0667	14	0.012647	0.008	0.021	0.009547	0.000889	0.028117
EDA	8.11e-7	41939.0698	0	0.191191	0.014	1.	0.146107	0.002812	1.
EDA2R	6.9e-7	32562.5	2	0.017947	0.004	0.059	0.013325	0.000889	0.088914
EDAR	1.08e-6	61080.2222	10	0.007489	0.004	0.014	0.006398	0.000889	0.028117
EDARADD	5.85e-7	66260.6667	4	0.012507	0.005	0.031	0.009482	0.000889	0.028117
EDC3	8.01e-7	66281	2	0.036841	0.009	0.126	0.025864	0.000889	0.281171
EDC4	3.63e-6	66421.75	9	0.028864	0.015	0.055	0.02546	0.002812	0.088914
EDDM3A	3.74e-7	66699.6	5	0.006696	0.003	0.015	0.007114	0.000889	0.028117
EDDM3B	3.87e-7	66002	10	0.00324	0.00159	0.00548	0.005203	0.000889	0.028117
EDEM1	1.97e-6	60046.7059	9	0.014504	0.008	0.028	0.010426	0.000889	0.028117
EDEM2	1.58e-6	66553.3333	11	0.010502	0.006	0.019	0.00793	0.000889	0.028117
EDEM3	2.56e-6	62522	4	0.046327	0.018	0.118	0.046016	0.002812	0.281171
EDF1	4.85e-7	65304	0	0.185405	0.013	1.	0.135073	0.000889	1.
EDIL3	1.66e-6	66383	9	0.013555	0.007	0.026	0.009789	0.000889	0.028117
EDN1	5.34e-7	66677	1	0.057581	0.009	0.267	0.036628	0.000889	0.281171
EDN2	5.58e-7	66583.3333	15	0.002923	0.00165	0.00454	0.004689	0.000889	0.028117
EDN3	5.25e-7	64348	2	0.025027	0.006	0.084	0.016638	0.000889	0.088914
EDNRA	8.73e-7	66499.2308	0	0.242774	0.022	1.	0.202667	0.002812	1.
EDNRB	1.26e-6	63027	5	0.018706	0.008	0.043	0.012834	0.000889	0.088914
EEA1	4.13e-6	62322.4	8	0.034818	0.018	0.069	0.039197	0.008891	0.088914
EED	1.52e-6	65619.2	0	0.312658	0.035	1.	0.27316	0.028117	1.
EEF1A1	9.19e-7	62161.0877	0	0.240988	0.021	1.	0.19536	0.002812	1.
EEF1A2	8.04e-7	57924.6239	0	0.219654	0.018	1.	0.173901	0.002812	1.
EEF1B2	5.1e-7	65728	0	0.189991	0.013	1.	0.135518	0.000889	1.
EEF1D	1.5e-6	51838	0	0.278002	0.028	1.	0.242368	0.008891	1.
EEF1E1	4.25e-7	66130	1	0.048387	0.007	0.224	0.030708	0.000889	0.281171
EEF1G	1.42e-6	57502	0	0.284451	0.029	1.	0.245607	0.008891	1.
EEF2	1.84e-6	66389	1	0.146455	0.026	0.644	0.126887	0.008891	0.88914
EEFSEC	8.43e-7	53660.5	3	0.019918	0.006	0.056	0.01301	0.000889	0.088914
EEPD1	1.2e-6	66212	1	0.105663	0.018	0.48	0.087489	0.002812	0.88914
EFCAB1	6.38e-7	65370.3333	4	0.013339	0.005	0.033	0.009415	0.000889	0.028117
EFCAB11	5.96e-7	66684.5	3	0.017777	0.006	0.05	0.012413	0.000889	0.088914
EFCAB12	1.33e-6	43399.6	8	0.008384	0.004	0.016	0.006714	0.000889	0.028117
EFCAB14	1.15e-6	65682.2222	5	0.017854	0.008	0.041	0.012337	0.000889	0.088914
EFCAB2	5.73e-7	26283.4545	16	0.00131	0.0007	0.00186	0.003936	0.000889	0.008891
EFCAB4A	7.41e-7	51385.6	26	0.001699	0.00109	0.00234	0.004039	0.000889	0.028117
EFCAB4B	1.71e-6	46376.6667	30	0.002866	0.00194	0.00397	0.003871	0.000889	0.008891
EFCAB6	3.61e-6	65858.8333	43	0.005717	0.0042	0.00762	0.004271	0.000889	0.028117
EFCAB7	1.92e-6	65370	14	0.009678	0.006	0.016	0.0072	0.000889	0.028117
EFCC1	1.19e-6	34907.1111	5	0.010364	0.005	0.024	0.008066	0.000889	0.028117
EFEMP1	1.74e-6	66631.12	0	0.335911	0.04	1.	0.294676	0.028117	1.
EFEMP2	1.06e-6	66138.8	2	0.047003	0.012	0.162	0.037937	0.000889	0.281171
EFHB	2.32e-6	61037.4167	31	0.004814	0.00333	0.00672	0.004242	0.000889	0.028117
EFHC1	1.74e-6	66364.8	18	0.006895	0.005	0.011	0.005364	0.000889	0.028117
EFHD1	3.08e-7	51493	0	0.140185	0.007	0.969	0.091397	0.000889	1.
EFHD2	3.56e-7	56646	0	0.153823	0.009	1.	0.110081	0.000889	1.
EFNA1	4.27e-7	65999.0345	0	0.176422	0.012	1.	0.117909	0.000889	1.
EFNA3	5.29e-7	63790	25	0.001591	0.00101	0.0022	0.004188	0.000889	0.028117
EFNA4	5.41e-7	65461	2	0.026038	0.006	0.088	0.016836	0.000889	0.088914
EFNA5	4.81e-7	59101.6129	0	0.177071	0.012	1.	0.128486	0.000889	1.
EFNB1	5.9e-7	39628.3455	0	0.163263	0.01	1.	0.118542	0.000889	1.
EFNB2	5.73e-7	66339.8056	0	0.200696	0.015	1.	0.154074	0.002812	1.
EFNB3	8.89e-7	41025	2	0.026691	0.007	0.09	0.018741	0.000889	0.088914
EFR3A	2.87e-6	50678.6	5	0.033153	0.014	0.077	0.030751	0.002812	0.088914
EFS	9.29e-7	63946.8889	7	0.009927	0.005	0.02	0.007595	0.000889	0.028117
EFTUD1	3.02e-6	66409	10	0.021604	0.012	0.04	0.015237	0.002812	0.088914
EFTUD2	2.36e-6	66604	0	0.388898	0.052	1.	0.352328	0.028117	1.
EGF	3.69e-6	66194.9231	27	0.009412	0.007	0.014	0.006755	0.000889	0.028117
EGFL6	1.8e-6	47672.1429	9	0.010696	0.006	0.02	0.008046	0.000889	0.028117
EGFL7	7.68e-7	44296.5714	8	0.005231	0.00243	0.00968	0.00564	0.000889	0.028117
EGFLAM	2.72e-6	60347.7143	10	0.017791	0.01	0.033	0.012645	0.000889	0.028117
EGFR	3.47e-6	65084.2857	4	0.064299	0.024	0.164	0.062088	0.008891	0.281171
EGLN1	9.98e-7	52950.55	0	0.23257	0.02	1.	0.191739	0.002812	1.
EGLN2	8.94e-7	57565	2	0.035857	0.009	0.123	0.025602	0.000889	0.281171
EGLN3	5.41e-7	65524.8	7	0.006253	0.003	0.013	0.006238	0.000889	0.028117
EGR1	6.03e-7	66712	1	0.06307	0.01	0.293	0.043072	0.000889	0.281171
EGR2	5.47e-7	66730	1	0.058655	0.009	0.272	0.036649	0.000889	0.281171
EGR3	3.88e-7	65035.9375	0	0.168464	0.011	1.	0.117113	0.000889	1.
EHBP1	3.73e-6	66228.6667	3	0.095075	0.031	0.272	0.09031	0.028117	0.281171
EHBP1L1	3.79e-6	57244.4	12	0.019284	0.011	0.034	0.01432	0.002812	0.028117
EHD1	8.51e-7	66552	1	0.08166	0.013	0.377	0.065039	0.000889	0.88914
EHD2	8.77e-7	40063	1	0.057015	0.008	0.265	0.04152	0.000889	0.281171
EHD3	9.08e-7	66491.3333	5	0.014518	0.006	0.033	0.009921	0.000889	0.028117
EHD4	1.19e-6	65656.5714	2	0.051722	0.013	0.178	0.042044	0.000889	0.281171
EHF	1.2e-6	66674	1	0.106224	0.018	0.482	0.08802	0.002812	0.88914
EHHADH	1.5e-6	65625.8824	27	0.003912	0.00262	0.00556	0.004285	0.000889	0.028117
EHMT1	3.58e-6	66116	0	0.474631	0.074	1.	0.42923	0.028117	1.
EHMT2	3.41e-6	61620	6	0.038801	0.018	0.084	0.040486	0.008891	0.088914
EI24	1.19e-6	66736	0	0.280766	0.028	1.	0.242669	0.008891	1.
EID1	2.51e-7	65063.1538	0	0.141741	0.007	0.978	0.099559	0.000889	1.
EID2	3.61e-7	54464	0	0.152288	0.009	1.	0.108222	0.000889	1.
EID2B	1.26e-7	65230	0	0.111971	0.005	0.804	0.067636	0.000889	1.
EID3	6.06e-7	66740	1	0.063325	0.01	0.294	0.043086	0.000889	0.281171
EIF1	2.5e-7	65494.375	0	0.141881	0.007	0.978	0.099813	0.000889	1.
EIF1AD	3.87e-7	66706	3	0.012318	0.004	0.034	0.010054	0.000889	0.088914
EIF1AX	6.32e-7	44581.0714	0	0.176406	0.012	1.	0.125481	0.000889	1.
EIF1B	2.69e-7	66634	1	0.035227	0.005	0.159	0.02588	0.000889	0.281171
EIF2A	1.62e-6	49193.4286	5	0.018768	0.008	0.043	0.01259	0.000889	0.088914
EIF2AK1	1.83e-6	66284.1818	8	0.016826	0.009	0.033	0.011298	0.000889	0.028117
EIF2AK2	1.63e-6	66054.75	5	0.024903	0.011	0.058	0.017301	0.000889	0.088914
EIF2AK3	2.83e-6	66415.6	8	0.025652	0.013	0.051	0.01947	0.002812	0.088914
EIF2AK4	4.86e-6	66639.8519	46	0.007232	0.006	0.01	0.004678	0.000889	0.028117
EIF2B1	8.42e-7	66517	5	0.013556	0.006	0.031	0.009236	0.000889	0.028117
EIF2B2	7.61e-7	65931	3	0.021839	0.007	0.062	0.015363	0.000889	0.088914
EIF2B3	1.18e-6	66664	2	0.052033	0.013	0.179	0.042768	0.000889	0.281171
EIF2B4	1.72e-6	66739.3333	2	0.072747	0.019	0.25	0.065337	0.002812	0.281171
EIF2B5	2.19e-6	66732	2	0.090112	0.023	0.309	0.084805	0.008891	0.281171
EIF2D	1.84e-6	66455.3846	7	0.019545	0.01	0.04	0.012889	0.000889	0.088914
EIF2S1	8.19e-7	66553.6774	0	0.235875	0.02	1.	0.187637	0.002812	1.
EIF2S2	1.15e-6	65779	2	0.050265	0.013	0.173	0.042132	0.000889	0.281171
EIF2S3	9.96e-7	46641	2	0.032816	0.008	0.112	0.023321	0.000889	0.281171
EIF2S3L	5.18e-7	66723	13	0.003184	0.00173	0.0051	0.004828	0.000889	0.028117
EIF3A	5.98e-6	66568	1	0.348247	0.08	1.	0.299877	0.088914	0.88914
EIF3B	2.21e-6	54830.0702	0	0.343091	0.041	1.	0.3063	0.028117	1.
EIF3D	1.62e-6	66476	1	0.133138	0.023	0.592	0.114903	0.008891	0.88914
EIF3E	1.14e-6	66350	1	0.101776	0.017	0.463	0.08022	0.002812	0.88914
EIF3F	8.2e-7	66644	2	0.03778	0.009	0.13	0.026005	0.000889	0.281171
EIF3G	7.61e-7	57941.0682	0	0.214337	0.017	1.	0.173928	0.002812	1.
EIF3H	9.71e-7	66726.6667	3	0.027497	0.009	0.078	0.019667	0.000889	0.088914
EIF3I	7.95e-7	66584	1	0.077577	0.012	0.359	0.057452	0.000889	0.281171
EIF3J	7.44e-7	66524	1	0.073727	0.011	0.341	0.049981	0.000889	0.281171
EIF3K	7.75e-7	66648.6667	8	0.007577	0.004	0.015	0.006756	0.000889	0.028117
EIF3L	1.47e-6	66468	1	0.123665	0.021	0.554	0.108575	0.008891	0.88914
EIF3M	1.05e-6	66600	0	0.26457	0.025	1.	0.21701	0.008891	1.
EIF4A1	1.56e-6	64816.3962	0	0.314695	0.035	1.	0.281216	0.028117	1.
EIF4A2	1.1e-6	66588.1017	0	0.270344	0.026	1.	0.230133	0.008891	1.
EIF4A3	1.34e-6	65799.3827	0	0.294927	0.031	1.	0.252444	0.008891	1.
EIF4B	2.38e-6	64334.9091	0	0.383997	0.051	1.	0.346418	0.028117	1.
EIF4E2	9.87e-7	66672	1	0.091533	0.015	0.42	0.072881	0.002812	0.88914
EIF4E3	8.43e-7	47103.2	9	0.005285	0.00258	0.0095	0.005422	0.000889	0.028117
EIF4EBP1	1.61e-7	66726	0	0.122014	0.005	0.867	0.083424	0.000889	1.
EIF4EBP2	2.45e-7	53913.3333	0	0.131086	0.006	0.919	0.078727	0.000889	1.
EIF4EBP3	2.9e-7	66429	1	0.037011	0.005	0.168	0.025838	0.000889	0.281171
EIF4ENIF1	2.92e-6	66025	1	0.206036	0.041	0.864	0.183427	0.028117	0.88914
EIF4G1	5.02e-6	66008.3037	0	0.559839	0.1	1.	0.501509	0.088914	1.
EIF4G3	4.14e-6	66602.5	2	0.157185	0.043	0.526	0.155527	0.028117	0.88914
EIF4H	8.49e-7	66732	6	0.011225	0.005	0.024	0.008118	0.000889	0.028117
EIF5	1.08e-6	66543	1	0.097886	0.016	0.447	0.080427	0.002812	0.88914
EIF5A	4.58e-7	62630.0976	0	0.177745	0.012	1.	0.132252	0.000889	1.
EIF5A2	3.9e-7	65930	1	0.045371	0.007	0.209	0.030649	0.000889	0.281171
EIF5B	3.39e-6	57154.75	2	0.115557	0.031	0.393	0.11036	0.028117	0.88914
EIF6	6.15e-7	66610	0	0.207431	0.016	1.	0.154411	0.002812	1.
ELAC1	5.09e-7	64050	1	0.053944	0.008	0.25	0.035571	0.000889	0.281171
ELAC2	2.37e-6	64569.6667	13	0.012647	0.008	0.022	0.009629	0.000889	0.028117
ELANE	7.34e-7	48452	2	0.02613	0.006	0.088	0.017342	0.000889	0.088914
ELAVL1	6.78e-7	65767.9467	0	0.215415	0.017	1.	0.17034	0.002812	1.
ELAVL2	7.44e-7	66359.1081	0	0.22551	0.019	1.	0.171176	0.002812	1.
ELAVL3	6.4e-7	62354	0	0.205042	0.016	1.	0.149057	0.002812	1.
ELAVL4	7.53e-7	66321.0149	0	0.226681	0.019	1.	0.187277	0.002812	1.
ELF1	1.44e-6	66740	0	0.307196	0.034	1.	0.265023	0.008891	1.
ELF2	1.2e-6	66734	1	0.106297	0.018	0.482	0.088089	0.002812	0.88914
ELF3	1.26e-6	66732	1	0.110318	0.019	0.499	0.095381	0.002812	0.88914
ELF4	1.09e-6	46914	3	0.022213	0.007	0.063	0.01534	0.000889	0.088914
ELF5	9.1e-7	63524	2	0.039679	0.01	0.136	0.028314	0.000889	0.281171
ELFN2	8.95e-7	65742	0	0.244275	0.022	1.	0.201408	0.002812	1.
ELK3	6.39e-7	66633.5	1	0.065817	0.01	0.305	0.043031	0.000889	0.281171
ELK4	5.81e-7	65660	3	0.017153	0.006	0.048	0.012286	0.000889	0.088914
ELL	1.77e-6	65807.3333	2	0.073695	0.019	0.254	0.068592	0.002812	0.281171
ELL2	1.64e-6	63770	0	0.319786	0.036	1.	0.27893	0.028117	1.
ELL3	1.2e-6	66304	2	0.05256	0.013	0.181	0.042509	0.000889	0.281171
ELMO1	2.49e-6	65868	3	0.06492	0.021	0.187	0.062432	0.008891	0.281171
ELMO2	2.59e-6	66480.5	11	0.016866	0.01	0.03	0.012204	0.000889	0.028117
ELMOD1	9.08e-7	36656	0	0.189408	0.013	1.	0.146777	0.002812	1.
ELMOD2	9.67e-7	66722	1	0.090169	0.015	0.414	0.072931	0.002812	0.88914
ELMOD3	1.08e-6	66321.25	12	0.00668	0.004	0.012	0.005903	0.000889	0.028117
